State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Keralam,Idukki,"Kattappana Market",Cowpea(Veg),Other,Medium,22/09/2026,5400,5800,5500
Keralam,Idukki,"Kattappana Market",Tapioca,Other,Medium,22/09/2026,3500,3500,3500
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Carrot,Other,"Grade A",22/09/2026,2000,2700,2500
Keralam,Idukki,"Munnar Market",Cabbage,Other,Medium,22/09/2026,4500,4500,4500
Keralam,Alappuzha,"Harippad Market",Cabbage,Cabbage,FAQ,22/09/2026,4500,5000,4500
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Cucumbar(Kheera),Cucumbar,"Grade A",22/09/2026,2500,3500,3000
Odisha,Kalahandi,"Bhawanipatna APMC",Ridgeguard(Tori),Other,Local,22/09/2026,2800,2800,2800
Punjab,Amritsar,"Rayya APMC",Ridgeguard(Tori),Other,FAQ,22/09/2026,2042,2042,2042
"Uttar Pradesh","Jalaun (Orai)","Konch APMC",Ridgeguard(Tori),Ridgeguard(Tori),FAQ,22/09/2026,2500,2700,2600
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Raddish,Other,"Grade A",22/09/2026,1500,2200,2000
Haryana,Gurgaon,"Gurgaon APMC",Capsicum,Other,"Grade A",22/09/2026,2000,3000,2500
Keralam,Alappuzha,"Harippad Market",Capsicum,Capsicum,FAQ,22/09/2026,9000,9500,9000
"Himachal Pradesh",Kangra,"SMY Baijnath","Peas Wet",Other,"Grade A",22/09/2026,14000,15000,14000
Haryana,Gurgaon,"Gurgaon APMC",Pomegranate,Other,"Grade C",22/09/2026,5000,7000,6000
"Andhra Pradesh",Ananthapuramu,"Rapthadu APMC","Ground Nut Seed","Ground Nut Seed","Grade Range-1",22/09/2026,9500,11500,10500
Keralam,Idukki,"Kattappana Market",Yam(Ratalu),Other,Medium,22/09/2026,4800,5500,5400
Maharashtra,Ratnagiri,"APMC Ratnagiri (Nachane) ","French Beans(Frasbean)",Other,Local,22/09/2026,3000,4500,4000
Keralam,Idukki,"Kattappana Market","French Beans(Frasbean)",Other,Medium,22/09/2026,6800,7600,7000
Keralam,Idukki,"Kattappana Market","Little gourd(Kundru)",Other,Medium,22/09/2026,4200,4500,4400
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Lemon,Lemon,"Grade A",22/09/2026,7000,9000,8000
Keralam,Idukki,"Kattappana Market",Lemon,Other,Medium,22/09/2026,22000,24000,23000
